IMU_POSE_0,Sync_imu_0,IMU_POSE_1,Sync_imu_1,IMU_POSE_2,Sync_imu_2,IMU_POSE_3,Sync_imu_3,IMU_POSE_4,Sync_imu_4
0.008455276489257812,0.008573293685913086,0.01476907730102539,0.008491277694702148,0.016056537628173828,0.02511119842529297,0.011267662048339844,0.025400638580322266,0.019641876220703125,0.02505040168762207
0.024781465530395508,0.0252230167388916,0.014972686767578125,0.025296688079833984,0.016290903091430664,0.025777101516723633,0.02687811851501465,0.02574300765991211,0.03574037551879883,0.025817155838012695
0.025551795959472656,0.025850296020507812,0.030982494354248047,0.025711774826049805,0.03203439712524414,0.04033374786376953,0.02698516845703125,0.04036140441894531,0.03590059280395508,0.041131019592285156
0.04012155532836914,0.04045987129211426,0.04647469520568848,0.04039907455444336,0.032286643981933594,0.04160284996032715,0.04200935363769531,0.04176735877990723,0.0522913932800293,0.04172492027282715
0.04029583930969238,0.04151415824890137,0.04668474197387695,0.04168581962585449,0.0484614372253418,0.056719064712524414,0.05814838409423828,0.05757451057434082,0.06818222999572754,0.05859804153442383
0.055693864822387695,0.0565798282623291,0.06292939186096191,0.0578610897064209,0.0645298957824707,0.07337617874145508,0.05825161933898926,0.07302522659301758,0.06818771362304688,0.07434558868408203
0.07177066802978516,0.07415270805358887,0.06293463706970215,0.0754396915435791,0.06470203399658203,0.07540464401245117,0.07364654541015625,0.07550525665283203,0.08301544189453125,0.07557010650634766
0.07190775871276855,0.07510519027709961,0.07862043380737305,0.07554459571838379,0.08005309104919434,0.08882737159729004,0.0894019603729248,0.08904433250427246,0.09876346588134766,0.08948588371276855
0.08771300315856934,0.08857250213623047,0.09427475929260254,0.08837604522705078,0.0963749885559082,0.10428619384765625,0.0899662971496582,0.1047050952911377,0.09885478019714355,0.10501956939697266
0.1027529239654541,0.10483312606811523,0.09427976608276367,0.10409021377563477,0.09638047218322754,0.10698318481445312,0.10450243949890137,0.10630249977111816,0.11352705955505371,0.10731887817382812
0.10313224792480469,0.10674691200256348,0.10929298400878906,0.10654878616333008,0.11187601089477539,0.12023639678955078,0.12151265144348145,0.12099003791809082,0.11391806602478027,0.12114930152893066
0.11968874931335449,0.11990094184875488,0.12473464012145996,0.12042522430419922,0.11205816268920898,0.13601112365722656,0.12184739112854004,0.13776588439941406,0.12983417510986328,0.13853859901428223
0.13483214378356934,0.13579773902893066,0.12483358383178711,0.1363534927368164,0.12898659706115723,0.13988280296325684,0.136749267578125,0.13968586921691895,0.14602088928222656,0.1400284767150879
0.13498830795288086,0.13995981216430664,0.14011883735656738,0.14006328582763672,0.1438283920288086,0.15248560905456543,0.1370401382446289,0.1529850959777832,0.14613604545593262,0.15275001525878906
0.1505722999572754,0.15118932723999023,0.15536975860595703,0.15144133567810059,0.1439681053161621,0.1546783447265625,0.151625394821167,0.15442585945129395,0.16089630126953125,0.15488767623901367
